CYB-41	Todo	CYB-11	W7.2 — Corelib, installed-prefix and package verification
CYB-42	Done	CYB-11	W7.3 — Documentation and OpenSpec release closure
CYB-43	Todo	CYB-11	W7.4 — GitNexus changed-scope and whole-branch review
CYB-44	Todo	CYB-11	W7.5 — Assemble release evidence and sign off 0.4
CYB-45	Duplicate		OpenSpec alignment workstream (Cursor)
CYB-46	Done		OpenSpec alignment workstream (Cursor)
CYB-47	Canceled	CYB-45	A — Consumer/delivery alignment
CYB-49	Canceled	CYB-45	B — Provisional promotion wave 1 (12 caps)
CYB-5	Done		0.4 W1 — Production TypedProgram → ISLE adapter
CYB-50	Canceled	CYB-45	C — Provisional promotion wave 2 (remaining tooling feature stubs)
CYB-52	Canceled	CYB-45	D — Provisional promotion wave 3 (remaining language-meta feature stubs)
CYB-55	Canceled	CYB-45	F — Defer taxonomy hub promotion
CYB-56	Canceled	CYB-45	E — Provisional promotion wave 4 (remaining core-library + singles)
CYB-6	Done		0.4 W2 — Close semantic facts and diagnostics
CYB-64	Done	CYB-6	W2.5 — Complete remaining indexed semantic-fact authority
CYB-68	Done	CYB-40	W7.C1 — Capture clean-checkout compiler gate evidence
CYB-69	Done	CYB-41	W7.C2 — Inventory installed-prefix and package artifacts
CYB-7	Done		0.4 W3 — Exact ABI-v5 runtime-kit route
CYB-70	Done	CYB-42	W7.C3 — Prepare documentation and OpenSpec closure draft
CYB-71	Done	CYB-43	W7.C4 — Prepare GitNexus change manifest and review packet
CYB-77	Done	CYB-25	W4.2a — Lower closures and spawn from syntax facts to ABI-v5 runtime
CYB-78	Done	CYB-65	W4.5a — Replace LSP document-analysis cache with generation-bound syntax documentation facts
CYB-79	Done	CYB-29	W5.1a — Canonical runtime closure environment allocation and GC rooting
CYB-8	Done		0.4 W4 — Migrate remaining codegen, LSP, and frontend consumers
CYB-81	Done	CYB-24	W4.1c — Complete syntax/ISLE executable node inventory
CYB-82	Done	CYB-7	W3.4a — Migrate JIT and REPL to CodegenInput plus exact runtime kits
CYB-85	Backlog	CYB-10	W6.3a — Remove Rust runtime bridge, handlers, envelopes, and fallback objects
CYB-86	Backlog	CYB-10	W6.4a — Remove legacy ABI dispatch and compatibility resolver branches
CYB-87	Done	CYB-11	W7.1a — Establish reproducible 0.4 full-test and release-gate evidence
CYB-9	In Progress		0.4 W5 — Complete canonical runtime and three-target kit matrix
CYB-93	Done	CYB-87	W7.1d — Wire authoritative shared UI and Nexus test commands into the root release gate
CYB-94	Done	CYB-12	W1.1a — Cursor exclusive: sole CodegenInput→ISLE production route (reject HIR/Lowerable in-scope)
CYB-95	Done	CYB-82	Cursor: exact JIT kit discovery/validation for missing abi.json fail-closed
CYB-96	Done	CYB-16	Cursor evidence — generation-safe capture fact gap (CYB-16)
CYB-97	Done	CYB-28	W5.1a-cursor — Canonical BeskidTlsState ownership on thread attach/detach
CYB-98	Done	CYB-78	W4.5a Cursor — LSP doc-comment + lifecycle snapshot retirement (syntax facts)
CYB-99	Done	CYB-15	W1.4a-cursor — Expand parsed-project verified-CLIF harness coverage
